thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,loop_maintrial.thisRepN,loop_maintrial.thisTrialN,loop_maintrial.thisN,loop_maintrial.thisIndex,thisRow.t,notes,cross_fix.started,text_cross.started,text_cross.stopped,cross_fix.stopped,prompt.started,string_prompt_disp.started,string_prompt_disp.stopped,prompt.stopped,blank.started,blank_screen.started,blank_screen.stopped,blank.stopped,response.started,key_resp.started,key_response_disp.started,response.stopped,loop_maintrial.key_resp.keys,loop_maintrial.key_resp.corr,loop_maintrial.key_resp.rt,loop_maintrial.key_resp.duration,button_record.started,fb_break.started,fb_break.stopped,button_record.stopped,reactionTime,accuracy,prompt,character,countdown.started,countdown.stopped,ITI.started,black_screen.started,black_screen.stopped,ITI.stopped,text_countdown.started,text_countdown.stopped,birthday,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT-TT-TTTT,2025-07-03_16h28.12.393,maintrial_sternberg,2024.2.4,60.12361414353174,2025-07-03 16h28.23.354851 -0700,
0,0,0,comma,1,1.320466499979375,None,0,0,0,0,10.476012200000696,,10.462208499986446,10.476012200000696,20.476025699987076,20.46006369998213,20.467953499988653,20.476025699987076,23.976239999989048,23.960113899986027,23.960204000002705,23.976239999989048,28.559600799984764,28.543462399975397,28.54738439997891,28.559600799984764,28.559600799984764,29.894108499982394,comma,1,1.320466499979375,None,29.894771999999648,29.909634699986782,29.909634699986782,29.895855699985987,1.320466499979375,correct,j q o,t,29.89605699997628,29.896092599985423,29.896183099976042,29.909634699986782,33.292946100002155,33.27689979999559,,,TT-TT-TTTT,2025-07-03_16h28.12.393,maintrial_sternberg,2024.2.4,60.12361414353174,2025-07-03 16h28.23.354851 -0700,
1,0,1,period,1,0.6132440000073984,None,1,0,1,0,33.292946100002155,,33.2776681999967,,,33.27770299999975,33.2840978000022,33.292946100002155,36.79306820000056,36.78062579999096,36.78071329998784,36.79306820000056,41.42643009999301,41.41046189999906,41.41355569998268,41.42643009999301,41.42643009999301,42.04451259999769,period,1,0.6132440000073984,None,42.04576189999352,42.059770399995614,42.059770399995614,42.0472930999822,0.6132440000073984,correct,x c h,x,42.04771049998817,42.04777139998623,42.04792610000004,42.059770399995614,45.09317429998191,45.060318399977405,,,TT-TT-TTTT,2025-07-03_16h28.12.393,maintrial_sternberg,2024.2.4,60.12361414353174,2025-07-03 16h28.23.354851 -0700,
2,0,2,comma,1,0.7465160999854561,None,2,0,2,0,45.09317429998191,,45.06125959998462,,,45.06135259999428,45.07317829999374,45.09317429998191,48.59318820000044,48.57708289998118,48.57717199999024,48.59318820000044,53.29330699998536,53.277121099992655,53.28036699999939,53.29330699998536,53.29330699998536,54.04429999997956,comma,1,0.7465160999854561,None,54.0447329999879,54.059896499995375,54.059896499995375,54.04589539999142,0.7465160999854561,correct,b g x,z,54.0464079999947,54.04649549999158,54.04665919998661,54.059896499995375,55.693262099986896,55.677180300001055,,,TT-TT-TTTT,2025-07-03_16h28.12.393,maintrial_sternberg,2024.2.4,60.12361414353174,2025-07-03 16h28.23.354851 -0700,
3,0,3,comma,1,0.6926977999974042,None,3,0,3,0,55.693262099986896,,55.67796149998321,,,55.67799559998093,55.682875999977114,55.693262099986896,59.19331059997785,59.17727739998372,59.17735679997713,59.19331059997785,63.843335499987006,63.82722659999854,63.831990299979225,63.843335499987006,63.843335499987006,64.54473449999932,comma,1,0.6926977999974042,None,64.5459273000015,64.56000709999353,64.56000709999353,64.54727329997695,0.6926977999974042,correct,n z x,a,64.54778239998268,64.54787299997406,64.54805889999261,64.56000709999353,66.9600572999916,66.94400729998597,,,TT-TT-TTTT,2025-07-03_16h28.12.393,maintrial_sternberg,2024.2.4,60.12361414353174,2025-07-03 16h28.23.354851 -0700,
4,0,4,comma,1,0.2658018000074662,None,4,0,4,0,66.9600572999916,,66.94467999998596,,,66.94471679997514,66.95049180000206,66.9600572999916,70.46008179997443,70.44412849997752,70.44421739998506,70.46008179997443,74.11014710000018,74.09405299997889,74.09746099999757,74.11014710000018,74.11014710000018,74.37819129999843,comma,1,0.2658018000074662,None,74.37862339999992,74.39349599997513,74.39349599997513,74.38003849997767,0.2658018000074662,correct,r s v,k,74.38055649999296,74.3806435999868,74.38083299997379,74.39349599997513,77.06021049999981,77.04407750000246,,,TT-TT-TTTT,2025-07-03_16h28.12.393,maintrial_sternberg,2024.2.4,60.12361414353174,2025-07-03 16h28.23.354851 -0700,
5,0,5,period,1,0.3546296000131406,None,5,0,5,0,77.06021049999981,,77.04477449998376,,,77.04481249998207,77.04738979999092,77.06021049999981,80.56017729997984,80.54422679997515,80.5444276999915,80.56017729997984,84.29362119999132,84.27747799997451,84.28043600000092,84.29362119999132,84.29362119999132,84.6613204999885,period,1,0.3546296000131406,None,84.66190519998781,84.67692729999544,84.67692729999544,84.66296339998371,0.3546296000131406,correct,b s j,j,84.66343229997437,84.66350939997938,84.66368849997525,84.67692729999544,87.8102883999818,87.7941676999908,,,TT-TT-TTTT,2025-07-03_16h28.12.393,maintrial_sternberg,2024.2.4,60.12361414353174,2025-07-03 16h28.23.354851 -0700,
6,0,6,comma,1,0.26270500000100583,None,6,0,6,0,87.8102883999818,,87.79491159997997,,,87.79495029998361,87.80071149999276,87.8102883999818,91.31031000000075,91.29419339998276,91.29428529998404,91.31031000000075,95.77706299998681,95.76082229998428,95.76353799999924,95.77706299998681,95.77706299998681,96.04486609998276,comma,1,0.26270500000100583,None,96.04531359998509,96.06036360000144,96.06036360000144,96.04654789998312,0.26270500000100583,correct,p l t,h,96.04697529997793,96.0470623000001,96.04723179998109,96.06036360000144,99.47710389998974,99.46106489998056,,,TT-TT-TTTT,2025-07-03_16h28.12.393,maintrial_sternberg,2024.2.4,60.12361414353174,2025-07-03 16h28.23.354851 -0700,
7,0,7,comma,0,0.48309599998174235,None,7,0,7,0,99.47710389998974,,99.46175009998842,,,99.461785099993,99.46584559997427,99.47710389998974,102.97715029999381,102.9609762999753,102.96106619999046,102.97715029999381,106.66050869997707,106.64438269997481,106.64732389998971,106.66050869997707,106.66050869997707,107.14517589999014,comma,0,0.48309599998174235,None,107.14633959997445,107.16052089998266,107.16052089998266,107.14768419999746,0.48309599998174235,incorrect,e v h,v,107.14810279998346,107.14817149998271,107.14834580000024,107.16052089998266,109.6938537999813,109.67776919997414,,,TT-TT-TTTT,2025-07-03_16h28.12.393,maintrial_sternberg,2024.2.4,60.12361414353174,2025-07-03 16h28.23.354851 -0700,
8,0,8,period,1,0.34393989999080077,None,8,0,8,0,109.6938537999813,,109.67874740000116,,,109.6788393999741,109.68445469997823,109.6938537999813,113.19389819999924,113.1776947999897,113.1777824999881,113.19389819999924,117.74398739999742,117.72772850000183,117.72912039997755,117.74398739999742,117.74398739999742,118.09512109999196,period,1,0.34393989999080077,None,118.09570089998306,118.11056819997611,118.11056819997611,118.09682749997592,0.34393989999080077,correct,h f e,h,118.09731230000034,118.09739919999265,118.09756480000215,118.11056819997611,120.69401889998699,120.6612071999989,,,TT-TT-TTTT,2025-07-03_16h28.12.393,maintrial_sternberg,2024.2.4,60.12361414353174,2025-07-03 16h28.23.354851 -0700,
9,0,9,period,0,0.5177052000071853,None,9,0,9,0,120.69401889998699,,120.66211899998598,,,120.66221799998311,120.67566339997575,120.69401889998699,124.19405469999765,124.17787319998024,124.17796039997484,124.19405469999765,127.39407539999229,127.37787299999036,127.3811594999861,127.39407539999229,127.39407539999229,127.92866529998719,period,0,0.5177052000071853,None,127.97492909998982,127.99406289999024,137.9941902999999,137.97821039997507,0.5177052000071853,incorrect,o d m,y,137.9784195999964,147.97809819999384,147.9781862999953,147.9942619999929,149.61102109999047,149.5946893999935,137.9941902999999,147.9942619999929,TT-TT-TTTT,2025-07-03_16h28.12.393,maintrial_sternberg,2024.2.4,60.12361414353174,2025-07-03 16h28.23.354851 -0700,
10,0,10,period,0,0.3725488999916706,None,10,0,10,0,149.61102109999047,,149.59536589999334,149.61102109999047,159.61116999998922,159.59493839999777,159.6024889999826,159.61116999998922,163.11116239998955,163.09493490000023,163.0950226999994,163.11116239998955,166.62785509999958,166.61183099998743,166.6158630999853,166.62785509999958,166.62785509999958,167.01222159998724,period,0,0.3725488999916706,None,167.01315679997788,167.02785199999926,167.02785199999926,167.0140917999961,0.3725488999916706,incorrect,v n r c p,q,167.01423179998528,167.01425629999721,167.01432509999722,167.02785199999926,168.7111819999991,168.67854939997778,,,TT-TT-TTTT,2025-07-03_16h28.12.393,maintrial_sternberg,2024.2.4,60.12361414353174,2025-07-03 16h28.23.354851 -0700,
11,0,11,,,,,11,0,11,0,168.7111819999991,,168.67949329997646,,,168.679587599996,168.69274889997905,168.7111819999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
