thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,loop_maintrial.thisRepN,loop_maintrial.thisTrialN,loop_maintrial.thisN,loop_maintrial.thisIndex,thisRow.t,notes,cross_fix.started,text_cross.started,text_cross.stopped,cross_fix.stopped,prompt.started,string_prompt_disp.started,string_prompt_disp.stopped,prompt.stopped,blank.started,blank_screen.started,blank_screen.stopped,blank.stopped,response.started,key_resp.started,key_response_disp.started,response.stopped,loop_maintrial.key_resp.keys,loop_maintrial.key_resp.corr,loop_maintrial.key_resp.rt,loop_maintrial.key_resp.duration,button_record.started,fb_break.started,fb_break.stopped,button_record.stopped,reactionTime,accuracy,prompt,character,countdown.started,countdown.stopped,ITI.started,black_screen.started,black_screen.stopped,ITI.stopped,birthday,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XX-XX-XXXX,2025-07-03_14h56.10.561,maintrial_sternberg,2024.2.4,60.06200802426671,2025-07-03 14h56.18.754547 -0700,
0,0,0,comma,1,0.5522468999843113,None,0,0,0,0,1.474743300001137,,1.4527554999804124,1.474743300001137,11.476507299987134,11.462927499989746,11.469486699992558,11.476507299987134,14.976715299999341,14.963976400002139,14.964116199989803,14.976715299999341,18.243092099990463,18.229869200004032,18.23478519998025,18.243092099990463,18.243092099990463,18.79774599999655,comma,1,0.5522468999843113,None,18.798394999990705,18.81013850000454,18.81013850000454,18.7994456999877,0.5522468999843113,correct,m k o,j,18.799688200000674,18.799723200005246,18.79981779999798,18.81013850000454,21.55864329999895,21.531663700006902,XX-XX-XXXX,2025-07-03_14h56.10.561,maintrial_sternberg,2024.2.4,60.06200802426671,2025-07-03 14h56.18.754547 -0700,
1,0,1,comma,1,0.494222199980868,None,1,0,1,0,21.55864329999895,,21.532773199985968,,,21.532836500002304,21.541071799991187,21.55864329999895,25.060104000003776,25.0496381999983,25.049929400003748,25.060104000003776,28.110038899991196,28.097151800000574,28.101101099979132,28.110038899991196,28.110038899991196,28.617822500003967,comma,1,0.494222199980868,None,28.618853399995714,28.641776699980255,28.641776699980255,28.62030459998641,0.494222199980868,correct,w k t,e,28.62064389997977,28.62069330000668,28.620842499978608,28.641776699980255,30.208157799992478,30.18312820000574,XX-XX-XXXX,2025-07-03_14h56.10.561,maintrial_sternberg,2024.2.4,60.06200802426671,2025-07-03 14h56.18.754547 -0700,
2,0,2,period,1,0.4674728999962099,None,2,0,2,0,30.208157799992478,,30.18441739998525,,,30.184476800000994,30.192259999981616,30.208157799992478,33.710401299991645,33.696978399995714,33.6971152999904,33.710401299991645,37.99185999998008,37.96716070000548,37.973097099980805,37.99185999998008,37.99185999998008,38.467704599985154,period,1,0.4674728999962099,None,38.468899300001794,38.49195820000023,38.49195820000023,38.470283100003144,0.4674728999962099,correct,z d l,l,38.47077069999068,38.470828599995,38.470940600003814,38.49195820000023,41.50841310000396,41.481025199987926,XX-XX-XXXX,2025-07-03_14h56.10.561,maintrial_sternberg,2024.2.4,60.06200802426671,2025-07-03 14h56.18.754547 -0700,
3,0,3,comma,1,0.4831477999978233,None,3,0,3,0,41.50841310000396,,41.48195809999015,,,41.482007999991765,41.48789829999441,41.50841310000396,45.01028309998219,44.996340999990935,44.996451499988325,45.01028309998219,48.808584499987774,48.783792999980506,48.79157440000563,48.808584499987774,48.808584499987774,49.301144800003385,comma,1,0.4831477999978233,None,49.302158299979055,49.325328899984015,49.325328899984015,49.303559099993436,0.4831477999978233,correct,d u o,x,49.30391570000211,49.30396600000677,49.30409950000467,49.325328899984015,51.70835430000443,51.68343969999114,XX-XX-XXXX,2025-07-03_14h56.10.561,maintrial_sternberg,2024.2.4,60.06200802426671,2025-07-03 14h56.18.754547 -0700,
4,0,4,period,1,0.38713100002496503,None,4,0,4,0,51.70835430000443,,51.684845499985386,,,51.684934299992165,51.691717399982736,51.70835430000443,55.21056929999031,55.20055079998565,55.20085150000523,55.21056929999031,59.16052969999146,59.14671559998533,59.14983159999247,59.16052969999146,59.16052969999146,59.549569800001336,period,1,0.38713100002496503,None,59.55026009998983,59.5605949999881,59.5605949999881,59.551346499996725,0.38713100002496503,correct,e z k,z,59.55158499997924,59.551616299984744,59.551725299999816,59.5605949999881,61.50869519999833,61.48424980000709,XX-XX-XXXX,2025-07-03_14h56.10.561,maintrial_sternberg,2024.2.4,60.06200802426671,2025-07-03 14h56.18.754547 -0700,
5,0,5,comma,1,0.6494621000019833,None,5,0,5,0,61.50869519999833,,61.48590599998715,,,61.48597539999173,61.49273430000176,61.50869519999833,65.01059520000126,65.00081569998292,65.00109689999954,65.01059520000126,68.1939339999808,68.18226410000352,68.18683209997835,68.1939339999808,68.1939339999808,68.8508923999907,comma,1,0.6494621000019833,None,68.85206529998686,68.88220480000018,68.88220480000018,68.85413289998542,0.6494621000019833,correct,n t e,m,68.85450980000314,68.85456169999088,68.85469519998878,68.88220480000018,71.37552800000412,71.35156680000364,XX-XX-XXXX,2025-07-03_14h56.10.561,maintrial_sternberg,2024.2.4,60.06200802426671,2025-07-03 14h56.18.754547 -0700,
6,0,6,comma,0,0.47341019997838885,None,6,0,6,0,71.37552800000412,,71.35310769997886,,,71.35318889998598,71.36418069998035,71.37552800000412,74.87747439998202,74.86578490000102,74.86600779998116,74.87747439998202,78.62553509999998,78.60067889999482,78.60799639998004,78.62553509999998,78.62553509999998,79.11805309998454,comma,0,0.47341019997838885,None,79.11904960000538,79.14232729998184,79.14232729998184,79.1205762999889,0.47341019997838885,incorrect,z c g,g,79.1209635999985,79.12101760000223,79.12116280000191,79.14232729998184,81.9157198999892,81.88406529999338,XX-XX-XXXX,2025-07-03_14h56.10.561,maintrial_sternberg,2024.2.4,60.06200802426671,2025-07-03 14h56.18.754547 -0700,
7,0,7,comma,1,0.4877418999967631,None,7,0,7,0,81.9157198999892,,81.8856920999824,,,81.88578099998995,81.89810729998862,81.9157198999892,85.42754089998198,85.41745769997942,85.41774790000636,85.42754089998198,90.22736540000187,90.21361449998221,90.21664169998257,90.22736540000187,90.22736540000187,90.7169665999827,comma,1,0.4877418999967631,None,90.71766910000588,90.72765519999666,90.72765519999666,90.7187944999896,0.4877418999967631,correct,p i z,w,90.71902459999546,90.71905670000706,90.71916389997932,90.72765519999666,94.04411099999561,94.03132459998596,XX-XX-XXXX,2025-07-03_14h56.10.561,maintrial_sternberg,2024.2.4,60.06200802426671,2025-07-03 14h56.18.754547 -0700,
8,0,8,period,1,0.4041709000011906,None,8,0,8,0,94.04411099999561,,94.03229589998955,,,94.03236230000039,94.0375173999928,94.04411099999561,97.54426090000197,97.53052450000541,97.5306494999968,97.54426090000197,101.91099429997848,101.89848079998046,101.90366569999605,101.91099429997848,101.91099429997848,102.31736009998713,period,1,0.4041709000011906,None,102.31811609998113,102.32774509998853,102.32774509998853,102.31938830000581,0.4041709000011906,correct,e r n,n,102.31962929997826,102.31966479998664,102.31979419998243,102.32774509998853,104.50923870000406,104.48282659999677,XX-XX-XXXX,2025-07-03_14h56.10.561,maintrial_sternberg,2024.2.4,60.06200802426671,2025-07-03 14h56.18.754547 -0700,
9,0,9,comma,1,0.5458033000177238,None,9,0,9,0,104.50923870000406,,104.48440469999332,,,104.4844771999924,104.49036239998532,104.50923870000406,108.01115770000615,107.99933160000364,107.99950000000536,108.01115770000615,111.20907199999783,111.18444189999718,111.19279129998176,111.20907199999783,111.20907199999783,111.76396589999786,comma,1,0.5458033000177238,None,111.80544179998105,111.82576569999219,116.82785259999218,116.81532359999255,0.5458033000177238,correct,x g d,f,116.81558490000316,116.81561819999479,116.81573959998786,116.82785259999218,119.42800260000513,119.41778210000484,XX-XX-XXXX,2025-07-03_14h56.10.561,maintrial_sternberg,2024.2.4,60.06200802426671,2025-07-03 14h56.18.754547 -0700,
10,0,10,,,,,10,0,10,0,119.42800260000513,,119.41894370000227,119.42800260000513,129.44225969997933,129.41788039999665,129.428771100007,129.44225969997933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
